KE,VE,alignment
0.0,0.0,False
2.0578147525340274e+35,-4.116945931447161e+35,True
2.0577846167630843e+35,-4.1169158068969645e+35,False
2.0577545555210744e+35,-4.116885757646293e+35,False
2.0577245873653682e+35,-4.116855801379825e+35,False
2.0576947296598916e+35,-4.1168259554489425e+35,False
2.0576649994229254e+35,-4.116796236860078e+35,False
2.0576354133169714e+35,-4.116766662264413e+35,False
2.0576059876397373e+35,-4.11673724794888e+35,False
2.057576738316348e+35,-4.1167080098283825e+35,False
2.057547680892734e+35,-4.116678963439172e+35,False
2.0575188305301258e+35,-4.116650123933341e+35,False
2.0574902020005865e+35,-4.116621506074371e+35,False
2.0574618096835386e+35,-4.1165931242336096e+35,False
2.0574336675631855e+35,-4.116564992387718e+35,False
2.057405789226791e+35,-4.116537124116911e+35,False
2.0573781878637282e+35,-4.116509532604005e+35,False
2.0573508762652512e+35,-4.116482230634153e+35,False
2.057323866824907e+35,-4.116455230595254e+35,False
2.0572971715395327e+35,-4.116428544478925e+35,False
2.0572708020107766e+35,-4.116402183882001e+35,False
2.0572447694470803e+35,-4.116376160008501e+35,False
2.0572190846660586e+35,-4.116350483671976e+35,False
2.0571937580972344e+35,-4.116325165298246e+35,False
2.0571687997850554e+35,-4.116300214928372e+35,False
2.0571442193921598e+35,-4.1162756422219235e+35,False
2.0571200262028288e+35,-4.116251456460401e+35,False
2.057096229126585e+35,-4.1162276665508244e+35,False
2.05707283670189e+35,-4.116204281029398e+35,False
2.0570498570999026e+35,-4.116181308065271e+35,False
2.057027298128251e+35,-4.11615875546428e+35,False
2.0570051672347914e+35,-4.116136630672702e+35,False
2.056983471511318e+35,-4.116114940780934e+35,False
2.056962217697178e+35,-4.116093692527117e+35,False
2.0569414121827782e+35,-4.116072892300608e+35,False
2.0569210610129533e+35,-4.116052546145342e+35,False
2.0569011698901623e+35,-4.116032659763026e+35,False
2.056881744177495e+35,-4.1160132385161174e+35,False
2.0568627889014674e+35,-4.115994287430627e+35,False
2.056844308754591e+35,-4.1159758111986674e+35,False
2.0568263080976858e+35,-4.115957814180758e+35,False
2.0568087909619416e+35,-4.115940300407881e+35,False
2.056791761050695e+35,-4.115923273583254e+35,False
2.056775221740921e+35,-4.115906737083816e+35,False
2.0567591760844363e+35,-4.115890693961416e+35,False
2.0567436268087818e+35,-4.115875146943701e+35,False
2.056728576317812e+35,-4.115860098434696e+35,False
2.0567140266919563e+35,-4.115845550515068e+35,False
2.056699979688173e+35,-4.1158315049420786e+35,False
2.0566864367395774e+35,-4.115817963149195e+35,False
2.056673398954754e+35,-4.115804926245429e+35,False
2.0566608671167577e+35,-4.115792395014318e+35,False
2.056648841681803e+35,-4.115780369912613e+35,False
2.0566373227776414e+35,-4.11576885106868e+35,False
2.0566263102016497e+35,-4.115757838280572e+35,False
2.056615803418628e+35,-4.115747331013831e+35,False
2.0566058015583197e+35,-4.1157373283990234e+35,False
2.056596303412671e+35,-4.115727829228994e+35,False
2.0565873074328367e+35,-4.115718831955885e+35,False
2.0565788117259605e+35,-4.1157103346879076e+35,False
2.0565708140517366e+35,-4.115702335185938e+35,False
2.0565633118187867e+35,-4.115694830859869e+35,False
2.056556302080859e+35,-4.1156878187648435e+35,False
2.0565497815328944e+35,-4.115681295597314e+35,False
2.0565437465069654e+35,-4.115675257690995e+35,False
2.0565381929681377e+35,-4.115669701012743e+35,False
2.056533116510266e+35,-4.115664621158349e+35,False
2.056528512351786e+35,-4.1156600133483415e+35,False
2.0565243753315026e+35,-4.115655872423807e+35,False
2.0565206999044478e+35,-4.115652192842232e+35,False
2.0565174801378295e+35,-4.115648968673482e+35,False
2.0565147097071163e+35,-4.115646193595901e+35,False
